           x [mm]           y [mm]           z [mm]       ExRe [V/m]       ExIm [V/m]       EyRe [V/m]       EyIm [V/m]       EzRe [V/m]       EzIm [V/m]
              7.5                9                2          184.051         -208.884         -102.652          208.509         -30.1167           211.78
                8                9                2          243.053         -176.349         -150.023          180.109         -85.0984          195.102
              8.5                9                2          296.371         -129.485         -191.251          142.423         -134.586          170.428
                9                9                2          341.357         -70.4769         -224.486          98.4406         -176.154          140.375
              9.5                9                2          376.006         -1.55191         -248.533          50.8284         -208.286          107.142
               10                9                2          398.657          74.9986          -262.59          2.08917         -230.017          72.6598
             10.5                9                2          407.007          156.762         -265.553         -45.0098         -240.216           38.869
               11                9                2          401.852          240.397         -258.806         -88.2991         -240.463          7.21647
             11.5                9                2           383.51          323.383         -243.285         -126.086         -231.933          -21.303
               12                9                2          352.594           403.28         -220.176         -156.885         -216.093         -45.9056
             12.5                9                2          310.304          477.657          -191.11         -179.443         -194.898          -66.002
               13                9                2          259.422          545.263         -158.423         -193.903         -170.856         -81.7549
             13.5                9                2          202.194          605.087         -123.967         -200.315         -145.917         -93.2074
               14                9                2           141.03           656.15         -89.6077         -198.701         -121.973         -100.291
             14.5                9                2          78.9099          698.367         -57.1545         -189.815         -100.657         -103.183
               15                9                2          18.5226          732.414         -27.8262         -174.797         -82.8808         -102.174
             15.5                9                2         -37.7505          758.851         -2.50125         -154.528         -69.1745         -97.3331
               16                9                2         -87.3613          778.128          18.1063         -129.797         -59.7983         -88.5215
             16.5                9                2         -128.275           791.22          33.9819         -101.616         -54.3158         -75.7977
               17                9                2         -158.954              799           45.563         -70.9266         -51.8799         -59.2664
             17.5                9                2         -178.297          802.117          53.6139         -38.6142         -51.3747          -39.108
               18                9                2         -185.636          801.003          59.1458         -5.50752         -51.5483         -15.6664
             18.5                9                2         -180.928          795.855          63.3678           27.537         -51.0796          10.4575
               19                9                2         -164.466          786.553          67.5207           59.617         -48.7134          38.4399
             19.5                9                2         -137.105          772.761          72.7924          89.7515         -43.3747          67.1644
               20                9                2         -100.211          754.008          80.1535          116.919         -34.3154          95.2986
             20.5                9                2         -55.3533          729.609          90.3462          139.969         -21.0463          121.326
               21                9                2         -4.57092          698.903          103.752          157.696         -3.50906          143.568
             21.5                9                2          49.7201          661.716          120.168          169.253          17.7162          160.622
               22                9                2          105.318          617.812          139.154          173.784          41.9038          171.208
             22.5                9                2          159.839          566.966          159.953          170.347          68.0497          173.994
               23                9                2          210.669          509.461          181.299          158.421          94.6794          168.109
             23.5                9                2          255.798          446.372          201.734          138.507          120.226          153.831
               24                9                2           293.38          378.723          219.779          111.085          143.184            131.5
             24.5                9                2          321.309          307.756          233.642          76.7789          161.791          101.638
               25                9                2          338.426          235.363          241.767          37.2504          174.616          65.9049
             25.5                9                2           344.44          163.461          243.139         -5.49765          180.798           26.364
               26                9                2           339.18          93.9334          236.893         -49.4511           179.64         -14.9172
             26.5                9                2           322.27          29.1138          221.982         -92.1645          170.305         -55.4665
               27                9                2          295.214         -29.2007          198.837         -131.166          153.357         -92.7452
             27.5                9                2          259.602         -79.5567          168.199         -164.371          129.614         -124.648
               28                9                2          217.152         -120.688          131.094         -189.911          100.129         -149.326
             28.5                9                2          169.716         -150.764          88.7572         -205.381          66.1364         -164.472
               29                9                2          120.142         -170.129          43.6735         -210.481          29.9156          -169.84
             29.5                9                2          70.7396         -178.887         -1.98477         -204.928           -6.578         -165.238
               30                9                2          23.7834          -177.41         -45.9032         -188.862         -41.3079         -150.912
             30.5                9                2         -18.1648          -166.16          -85.296         -162.691         -71.8732         -127.417
               31                9                2         -53.6372         -147.295         -118.261         -128.799         -96.7271         -97.1172
             31.5                9                2         -81.3836         -122.448         -143.104         -89.1935         -114.522         -62.0184
               32                9                2         -100.345         -93.3833          -158.27         -46.2055         -124.072         -24.4124
             32.5                9                2         -109.942         -62.2227          -162.67         -2.74324         -124.644          12.9139
               33                9                2         -111.019         -31.1007         -156.914          38.4054         -116.944          47.4225
             33.5                9                2         -104.334         -1.75531         -141.629          74.8264         -101.687          76.9487
               34                9                2         -90.8111          24.0797         -117.717          104.009         -79.8541           99.289
             34.5                9                2         -72.1753          45.0435         -87.2174          124.101         -53.3404           112.96
               35                9                2         -50.4207          60.5284         -52.6863          134.472         -24.3799          117.646
             35.5                9                2         -27.3048          70.1512         -16.5166          134.796          4.95234          113.318
               36                9                2          -4.6853          73.5736          18.5992          124.859          32.3302          100.107
             36.5                9                2          15.7049           71.455          50.0323          106.158          55.6553          79.6722
               37                9                2          32.6391          64.7116          75.8051          80.6062          73.4362          53.9729
             37.5                9                2          45.1934          54.3133          94.3319          50.2371          84.5376          25.0388
             -2.5              9.5                2          65.1636          4.80544         -111.227          4.18536         -165.187          33.8548
               -2              9.5                2          63.0067          24.8604         -110.309         -41.2599         -182.309         -27.5153
             -1.5              9.5                2          54.5455             45.3         -99.4785         -84.6403         -184.657         -87.7038
               -1              9.5                2          39.5565          64.0862          -78.756         -121.974          -170.88         -141.446
             -0.5              9.5                2          18.7663          78.9773         -49.5835         -149.665         -141.793          -183.88
                0              9.5                2         -6.34589          88.2604         -14.3633          -165.64         -100.093         -212.093
              0.5              9.5                2         -34.1667          90.4434          24.4654         -168.392         -48.6979          -223.97
                1              9.5                2          -62.596          83.8437          63.9396         -156.424            8.788         -217.443
              1.5              9.5                2         -89.0805          68.3779          100.727         -131.054          67.3335         -193.993
                2              9.5                2         -111.327          44.5377          132.039         -94.2312          122.521         -155.927
              2.5              9.5                2         -127.159          13.2621          155.404         -48.3644          170.288          -106.11
                3              9.5                2         -133.723          -24.147          167.767          3.62688          205.758         -47.9245
              3.5              9.5                2         -130.234         -64.7052           168.68          57.3565          227.093          13.3712
                4              9.5                2         -115.886          -105.75          157.703          109.226          232.783           73.608
              4.5              9.5                2         -90.2385         -144.258          134.868          155.576          221.991          128.656
                5              9.5                2         -53.4713         -176.634          100.961          192.594          194.886          174.353
              5.5              9.5                2         -7.68861         -200.308          58.6167          218.354          154.482          208.633
                6              9.5                2          45.1859         -212.926          10.1528          231.309          103.465          229.983
              6.5              9.5                2          102.803         -211.969         -41.7802          230.084          44.9712          237.184
                7              9.5                2          161.863         -196.182         -93.8725          214.959         -16.7303          230.774
              7.5              9.5                2          219.127         -165.888         -143.183          187.658         -77.6183          212.699
                8              9.5                2          271.568         -121.549         -187.145          149.929         -134.233           184.87
              8.5              9.5                2          315.558         -63.5804         -222.862          103.698         -182.826          149.308
                9              9.5                2          348.667          5.26079         -248.845          52.3608         -221.179           109.23
              9.5              9.5                2           369.14          82.2757         -264.281         -1.11704         -248.052          67.2704
               10              9.5                2          375.596          164.746          -268.76         -53.9986          -262.81          25.6951
             10.5              9.5                2          365.995          249.673         -261.632         -103.208         -264.679         -13.1737
               11              9.5                2          341.754          333.721         -244.835          -146.72         -255.885         -47.9958
             11.5              9.5                2          303.654          414.302         -219.761         -182.924         -238.103         -77.8491
               12              9.5                2          252.793          488.977         -188.049         -210.462         -213.314         -102.085
             12.5              9.5                2           190.91          555.437         -151.809         -228.292         -184.018         -120.344
               13              9.5                2          121.223          612.959         -113.603         -236.966         -153.079         -133.204
             13.5              9.5                2          46.3496          660.969         -75.4954         -236.851         -122.744         -141.022
               14              9.5                2         -30.9041          698.978         -39.5856          -228.29         -95.2028         -144.025
             14.5              9.5                2         -107.284          727.574         -7.71584         -212.389         -72.2047         -142.688
               15              9.5                2         -180.004           748.09          19.0441         -190.564         -54.5828         -137.515
             15.5              9.5                2          -246.58           761.68          39.9544         -163.896         -42.7825         -128.701
               16              9.5                2         -304.313          769.438          54.4602         -133.344         -36.9566         -116.178
             16.5              9.5                2         -351.185          772.892          62.8689         -99.9736         -36.4019         -99.9832
               17              9.5                2         -385.707          773.347          65.9924         -64.6983         -39.9504         -80.1378
             17.5              9.5                2         -406.827          771.762           65.001         -28.3096         -46.1356          -56.695
               18              9.5                2          -413.94          768.758          61.3166          8.50312         -53.3487          -29.856
             18.5              9.5                2         -407.084          764.545          56.5658          45.0515          -59.902        -0.083576
               19              9.5                2          -386.61          758.909          52.3896          80.5976          -64.186          31.9124
             19.5              9.5                2         -353.437          751.269          50.3406          114.299         -64.7979          65.0792
               20              9.5                2         -309.006          740.776           51.686          145.222          -60.712          98.0835
             20.5              9.5                2         -254.928          726.315          57.4324          172.243         -51.1892          129.351
               21              9.5                2         -193.304          706.697          68.1475          194.112         -35.9807          157.068
             21.5              9.5                2         -126.708          681.172           83.641           209.86         -15.6195          179.631
               22              9.5                2         -57.4467          648.992          103.477          218.477          9.20284          195.545
             22.5              9.5                2           11.994          609.403          126.894          218.807           37.504          203.224
               23              9.5                2          78.8163          562.148          152.497          210.077          67.7223          201.512
             23.5              9.5                2          140.718           507.93           178.53           192.59          98.0471          190.493
               24              9.5                2          195.593          447.445          203.264          166.629          126.758          170.327
             24.5              9.5                2           241.03          381.569          224.629          132.587          151.852          141.327
               25              9.5                2          275.484          312.041          240.682          92.0097          171.545           105.09
             25.5              9.5                2          298.314          240.798          250.026          46.8889          184.625           63.725
               26              9.5                2          309.001          169.754          251.449         -0.75434           190.07          19.3614
             26.5              9.5                2          306.729          101.234          243.492         -48.4807          186.661         -25.4646
               27              9.5                2          292.729          37.3703          226.274         -93.5994           174.67         -67.9436
             27.5              9.5                2          268.374         -20.0585          200.296         -133.796          154.699         -105.703
               28              9.5                2          235.202         -69.4527          166.387         -166.952          127.625          -136.62
             28.5              9.5                2          194.771         -108.636          125.511         -190.372          94.4525         -158.066
               29              9.5                2          150.071          -137.46          80.2411         -203.389          57.5692         -169.461
             29.5              9.5                2          103.479         -155.636          32.8059         -205.404          19.0149         -170.339
               30              9.5                2          57.3789         -163.166         -14.3693         -196.246         -19.0323          -160.69
             30.5              9.5                2          14.4406         -160.102         -58.3498         -175.963         -53.9799         -140.787
               31              9.5                2         -23.4589         -148.374         -96.8435         -146.779         -83.8916         -112.936
             31.5              9.5                2         -54.7785         -129.425         -127.841         -110.549         -107.097         -79.0885
               32              9.5                2         -78.1611         -104.855         -149.442         -69.4768         -122.062         -41.5159
             32.5              9.5                2         -92.6827         -76.6908         -160.156         -26.4161         -127.668         -3.06889
               33              9.5                2         -98.8365         -47.1893         -160.253          15.6802         -124.331          33.4859
             33.5              9.5                2         -97.1079         -18.1891         -150.066          54.2567         -112.529          65.7821
               34              9.5                2          -88.157           8.4637         -130.206           86.637         -93.0156          91.3907
             34.5              9.5                2         -73.4952          31.1776         -102.521          110.682         -67.5875          108.534
               35              9.5                2         -55.0076          49.0668         -69.5366          125.437         -38.5356          116.626
             35.5              9.5                2         -34.3766            61.51         -33.6417          130.289         -8.01826          115.406
               36              9.5                2         -13.3865          67.9273          2.46208          124.717          21.5269          104.766
             36.5              9.5                2          6.17284          68.7247          35.9361          109.935          47.7239          86.2176
               37              9.5                2          22.9825          64.6283          64.5593          87.6568          68.7969          61.6546
             37.5              9.5                2          36.0213           56.457          86.4998          59.7626           83.339          33.0818
             -2.5               10                2          59.1594          8.13631         -109.474         -7.88718         -175.649           17.537
               -2               10                2          55.6001          27.1799         -104.456         -52.9386         -188.318         -48.3402
             -1.5               10                2          46.0662           46.156         -89.5988         -94.8396          -185.21         -111.404
               -1               10                2          30.4905          63.0162         -65.2886         -129.559          -165.34         -165.898
             -0.5               10                2          9.74214           75.576         -33.3416         -153.609         -130.057         -206.725
                0               10                2         -14.6153          82.2394          3.57461         -165.159         -82.5903          -231.07
              0.5               10                2         -40.8881          81.6534          42.7941         -162.962         -26.3578         -237.006
                1               10                2         -66.8712           72.336          81.0945         -145.865          34.4418         -222.759
              1.5               10                2         -90.0578          54.4554          115.162         -115.614          94.4258         -190.503
                2               10                2         -108.239          28.7525           142.31         -74.5443          148.971         -143.244
              2.5               10                2         -119.361          -3.5729          160.233         -25.4326          193.912         -84.5556
                3               10                2         -120.737         -40.8419          166.086           28.324          224.251         -18.7014
              3.5               10                2           -111.9         -79.9247          159.907          82.1928          238.596          48.4572
                4               10                2         -92.3493         -117.994          141.672          132.431          235.821          112.247
              4.5               10                2          -62.005          -151.89          111.881          175.292          215.569          168.117
                5               10                2         -21.5059         -177.941          71.8673          206.979          178.653          211.611
              5.5               10                2          26.7055           -193.8          24.6646          225.893          128.775          240.932
                6               10                2          80.3558         -197.321         -27.0541          230.785          69.2267          254.828
              6.5               10                2          136.677         -186.268         -80.2601           220.64          3.79581          252.438
                7               10                2          192.093         -159.861         -131.456          196.245         -62.7271          234.963
              7.5               10                2            243.3         -118.954         -177.749          159.826         -126.081          205.096
                8               10                2          287.214         -64.5334         -216.647          113.587          -182.64           165.42
              8.5               10                2          320.085          2.31866         -245.331          59.9801         -228.472          118.699
                9               10                2          339.779          78.3019         -262.738          2.75395         -261.659          68.7602
              9.5               10                2          344.861          160.275         -268.479         -54.8894         -281.323          18.6579
               10               10                2          334.292          245.127         -262.583         -110.043          -287.24         -29.0357
             10.5               10                2          306.391          329.296         -244.905         -159.394         -279.096         -71.6496
               11               10                2          263.194          409.555         -217.924          -201.16         -259.816         -108.065
             11.5               10                2           205.96          483.324         -183.478         -233.889         -231.628         -137.525
               12               10                2          136.277          548.245         -143.652         -256.435         -197.067         -159.617
             12.5               10                2          56.4089          602.232         -101.011         -268.062         -159.214         -174.324
               13               10                2         -30.0788          645.186         -58.2859         -269.776         -121.265         -182.738
             13.5               10                2         -120.271          677.056         -17.7134         -262.313         -85.7491         -185.608
               14               10                2         -211.051          697.937          18.4168         -246.395         -55.1421         -183.539
             14.5               10                2         -299.011          709.176          48.2754         -223.504          -31.268         -177.357
               15               10                2         -381.392          712.816          70.9852         -195.316         -14.8293         -167.781
             15.5               10                2         -455.716           710.66           85.976         -163.102         -6.14572         -155.132
               16               10                2         -519.258          704.521          92.8814          -127.97         -5.22587           -139.4
             16.5               10                2         -570.119          696.518          92.3532         -90.9876         -11.0561         -120.556
               17               10                2         -606.941          688.409          85.5951         -52.9586         -22.1084         -98.4622
             17.5               10                2         -628.788          681.483          74.1975         -14.4926         -36.5305         -72.9635
               18               10                2         -635.159          676.553          60.0033          23.9586         -52.3284         -44.0309
             18.5               10                2         -626.187          673.827          45.0623          61.9776         -67.4198         -11.8973
               19               10                2          -602.27          672.977          31.4203          99.0907         -79.8188          22.9254
             19.5               10                2         -564.362          673.135           20.997          134.684         -87.7724          59.5227
               20               10                2         -513.918           673.03          15.3549          167.977         -89.9612          96.6153
             20.5               10                2         -452.519          671.069          15.7663          197.931         -85.3774           132.61
               21               10                2         -382.234          665.486          22.9859          223.284         -73.5644           165.58
             21.5               10                2         -305.678          654.884          36.8348          242.935         -54.9979          193.705
               22               10                2         -225.165           637.96          56.8896          255.708         -30.3205          215.261
             22.5               10                2         -143.169          613.387          82.3959          260.224        -0.472189          228.382
               23               10                2         -62.5596          580.311          111.849          255.423           32.917          231.593
             23.5               10                2          14.1566          539.003          143.211          241.348           67.795          224.729
               24               10                2          84.6846          489.771          174.518          218.038          102.234          207.719
             24.5               10                2          146.385          433.062          203.457          185.603          134.006          180.622
               25               10                2          197.367          370.393          227.708          145.407           160.96          144.914
             25.5               10                2          236.631          303.656          245.501          99.3684          181.519          102.702
               26               10                2           263.31          234.736          255.273          49.4567          194.312          56.1379
             26.5               10                2          276.151          165.871          255.163         -1.95993          197.716          7.77299
               27               10                2          276.047          99.4853          244.948         -52.0232          191.667         -39.3372
             27.5               10                2          264.097            37.65          224.857         -98.2292          176.503         -82.5691
               28               10                2          241.599         -17.7305          195.489         -138.245          152.886         -119.532
             28.5               10                2          209.757         -64.1897          157.499         -169.129          121.539         -147.295
               29               10                2          171.618         -101.052          113.488         -189.838          84.9174         -164.917
             29.5               10                2          129.561         -127.633          65.6953         -199.456          45.1118         -171.632
               30               10                2          86.0117         -143.544          16.6083         -197.492          4.41296         -167.149
             30.5               10                2          43.6854         -148.416         -30.7468         -183.621         -34.4238         -151.432
               31               10                2          4.82309         -143.886         -73.7191          -159.85         -69.0669         -126.678
             31.5               10                2         -28.7794         -131.159         -110.013         -127.843         -97.5187         -94.7467
               32               10                2         -55.5005         -111.624          -137.41          -89.627         -117.888         -57.8545
             32.5               10                2         -74.0967         -87.1606          -154.04           -47.95         -128.654         -18.8774
               33               10                2         -84.7017         -60.0848         -159.813         -5.87441         -129.904          19.2136
             33.5               10                2         -87.5234         -32.2853          -154.76           33.948         -121.851          53.8692
               34               10                2         -82.9545         -5.67303         -139.186          68.7217         -104.991           82.452
             34.5               10                2         -72.2687          17.9758         -114.717          96.0569         -80.9889          102.894
               35               10                2         -57.2061          37.5301         -83.8017          114.692         -52.1675          114.328
             35.5               10                2         -39.3435          52.1563         -48.7896           123.74         -20.7495          116.252
               36               10                2         -20.3618          61.0601         -12.3507          122.384          10.7338          108.308
             36.5               10                2         -2.06646           64.402          22.5117          111.543          39.6335          91.8371
               37               10                2          14.1666          62.7163          53.3693          92.7087           63.889          68.6432
             37.5               10                2          27.2495          56.6673          78.1744          67.5826          81.8169          40.6872
             -2.5             10.5                2          52.6557          9.63143         -106.597         -18.6912         -184.919         0.939844
               -2             10.5                2          48.1523          27.5284         -97.8899          -62.907         -193.098         -69.2834
             -1.5             10.5                2          38.0645          45.0518         -79.5301          -102.97          -184.55         -134.962
               -1             10.5                2          22.4517          60.1592         -52.2504         -134.842         -158.682         -189.849
             -0.5             10.5                2          2.28466          70.7233         -18.2056         -155.183         -117.396         -228.629
                0             10.5                2         -20.8278          75.2493           19.715          -162.42         -64.4643         -248.626
              0.5             10.5                2           -45.15          72.5065          58.6609         -155.584         -3.81144         -248.148
                1             10.5                2         -68.4207           61.196          95.2048         -133.878          59.7673         -225.773
              1.5             10.5                2          -88.212          41.6986          126.099         -99.4544           120.56         -184.436
                2             10.5                2         -102.425          14.9678          148.799         -55.0082           173.77          -127.89
              2.5             10.5                2         -109.149         -17.5747          161.202         -3.64709          215.165          -60.466
                3             10.5                2         -105.903         -53.9219          160.725          50.7996          239.684          12.6299
              3.5             10.5                2         -92.5195         -90.8429          147.888          103.721          246.444          84.9467
                4             10.5                2         -68.7965         -125.389          123.088           151.29          234.755          151.319
              4.5             10.5                2         -35.0058         -154.312          87.2888          189.744          204.805          206.804
                5             10.5                2          7.77837         -173.926          42.3551          215.373          158.117          246.715
              5.5             10.5                2          56.8282         -182.131         -8.33603          226.956          99.1021          269.614
                6             10.5                2          109.567         -177.032         -61.8027          223.588          31.6754          274.604
              6.5             10.5                2          162.867         -156.723         -114.695          204.662         -39.7069           261.29
                7             10.5                2          212.946         -120.931           -163.4          171.493         -109.755          231.647
              7.5             10.5                2          256.509         -71.0431         -205.144          126.794         -174.025          189.195
                8             10.5                2          290.484           -8.581         -237.573          73.2079          -228.78          137.259
              8.5             10.5                2          311.099          64.6809         -258.023          13.7023          -269.97          79.4232
                9             10.5                2          316.583          144.937         -265.906         -47.6943         -296.076          20.1222
              9.5             10.5                2          305.874           228.64          -261.29          -107.61         -306.668         -37.1938
               10             10.5                2          278.334          312.328         -244.666         -163.038         -302.012         -89.6885
             10.5             10.5                2          232.728          391.914         -216.436         -210.513          -282.35          -134.39
               11             10.5                2           171.69          464.374         -179.579         -248.582         -251.355         -170.527
             11.5             10.5                2          96.9607          527.213         -136.359          -276.03         -211.846         -197.611
               12             10.5                2           10.605           578.23         -89.2754         -292.002         -166.946         -215.576
             12.5             10.5                2         -84.6173          615.652         -41.3046         -296.146         -120.335         -224.877
               13             10.5                2         -184.899          640.084          4.72132         -289.967          -75.506         -227.213
             13.5             10.5                2          -287.12          652.066          46.4468         -274.605         -35.2431          -223.81
               14             10.5                2         -387.954          652.357          81.4398         -251.211          -2.2824         -215.735
             14.5             10.5                2         -483.987           643.12          107.933         -221.658          21.5262         -204.213
               15             10.5                2         -572.616          627.137          125.277         -187.864          35.6651         -190.178
             15.5             10.5                2         -651.494          606.897          133.094         -151.273          39.9809         -174.071
               16             10.5                2         -718.007          584.981          131.225         -113.128           34.647         -155.929
             16.5             10.5                2         -770.487          564.116          120.674         -74.4327          21.0257         -135.593
               17             10.5                2         -807.792          546.534          103.037         -35.8082          1.03659         -112.687
             17.5             10.5                2         -829.169          533.858          80.3233           2.4144         -23.0554         -86.7517
               18             10.5                2          -834.26           527.09          54.7907           40.123         -48.8464         -57.4235
             18.5             10.5                2         -823.302          526.422          28.9032           77.281         -73.8437         -24.6015
               19             10.5                2         -796.738          531.385           5.1016          113.784         -95.6684          11.5009
             19.5             10.5                2         -755.513          540.792         -14.3392          149.339         -112.205          50.1916
               20             10.5                2         -701.034            552.9         -27.5747          183.392         -121.831          90.3051
             20.5             10.5                2         -634.773          565.605         -33.0812          215.042         -123.261          130.276
               21             10.5                2         -558.664          576.523         -29.9258           243.04         -115.819           168.08
             21.5             10.5                2         -475.239           583.57         -18.2829          266.145         -99.9189          201.664
               22             10.5                2         -386.698          584.858          1.43702          283.001          -76.143          229.053
             22.5             10.5                2         -295.389           578.47          28.4973          291.996         -45.3707          248.081
               23             10.5                2         -204.118          562.928           61.304          291.748         -9.28147          256.908
             23.5             10.5                2         -115.495          538.025          97.5595          281.984          29.8403          255.063
               24             10.5                2         -31.9157           503.65          135.098          262.456          69.8729          242.198
             24.5             10.5                2          43.8445          459.772          171.401           232.95           108.38           218.07
               25             10.5                2          109.597          407.626          203.804          194.586          142.852          183.976
             25.5             10.5                2          163.999          349.002           230.18          149.148          171.328          141.973
               26             10.5                2          205.838          285.698          248.635          98.4997           192.08          94.1904
             26.5             10.5                2          233.442          219.793          256.929          44.8756          203.063          43.1459
               27             10.5                2          247.311          153.948          254.479         -8.75557          203.837         -7.88944
             27.5             10.5                2          248.216           90.486          241.225         -59.7461          194.436         -56.0607
               28             10.5                2          237.162          31.5782          217.508         -105.587          175.267          -98.725
             28.5             10.5                2          214.959         -20.0783          183.647         -143.149          146.724         -132.668
               29             10.5                2          184.615         -63.2729          142.216         -171.012          111.284         -156.562
             29.5             10.5                2          148.446         -96.9222          95.4183         -187.953          71.0549          -169.33
               30             10.5                2          108.862         -120.248          45.7528          -193.16          28.4091         -170.375
             30.5             10.5                2          68.5546         -132.465         -3.71942         -185.934         -13.7677         -159.322
               31             10.5                2          30.0752         -134.856         -50.0305         -168.019         -52.7476         -138.217
             31.5             10.5                2         -4.56829         -128.353         -90.6346         -140.851         -86.2052         -108.792
               32             10.5                2         -33.5295         -114.103         -123.032         -106.247         -111.889         -73.1704
