           x [mm]           y [mm]           z [mm]       ExRe [V/m]       ExIm [V/m]       EyRe [V/m]       EyIm [V/m]       EzRe [V/m]       EzIm [V/m]
               35             -2.5                2         -107.117          -75.878         -89.5148          -44.735         -35.6073         -45.4742
             35.5             -2.5                2         -117.362         -49.0423         -94.9701         -27.6748         -43.4242         -38.3627
               36             -2.5                2         -122.226         -21.4271         -97.0967         -9.63787         -49.5921         -29.4589
             36.5             -2.5                2         -121.786          5.79406         -95.7481          8.69834         -53.7548         -19.1727
               37             -2.5                2         -116.329          31.5927         -90.9042          26.6778         -55.6716         -7.96483
             37.5             -2.5                2          -106.19          55.0034         -82.5714          43.6358          -55.144          3.68131
             -2.5               -2                2         -107.966          77.6309          73.3052         -97.1352          35.6016         -69.5945
               -2               -2                2         -129.237           59.548          88.8246         -71.6512          49.2611         -54.5107
             -1.5               -2                2         -144.792          37.2237          100.757         -42.5049          60.8593         -37.0423
               -1               -2                2         -153.476          11.3877          108.418         -11.1461          69.8398         -18.0805
             -0.5               -2                2         -154.738         -16.7848          111.486          20.6382           75.858          1.28922
                0               -2                2         -148.767         -46.0152          110.074          51.2547          78.8636          20.1111
              0.5               -2                2         -135.754         -75.1323          104.269          79.3201          78.8025          37.5767
                1               -2                2         -115.785         -102.772          94.0594          103.276          75.5341          52.8021
              1.5               -2                2         -90.0486         -127.726          80.0967          122.239          69.3945           65.294
                2               -2                2         -59.6921         -149.015          63.0026          135.668          60.7233          74.7655
              2.5               -2                2         -25.8555         -165.758          43.3906          143.219          49.8646          81.0445
                3               -2                2          10.2784           -176.7           21.865          144.337          37.1218          83.8543
              3.5               -2                2           47.122         -181.787        -0.607265          139.875           23.165          83.6748
                4               -2                2          83.4582         -180.755         -23.2845          130.384           8.4874          80.8129
              4.5               -2                2          118.088           -173.4         -45.4037           116.53         -6.39884          75.6251
                5               -2                2          149.765          -159.65         -66.1154          99.2024         -20.9122           68.567
              5.5               -2                2          177.808         -140.316         -84.8267          79.6932         -34.5708          60.2941
                6               -2                2          201.607          -115.95         -100.987          59.0157          -46.952          51.2973
              6.5               -2                2          220.508         -87.0833         -113.974          38.1905         -57.5956          42.0484
                7               -2                2          234.282         -54.6711         -123.403          18.2379          -66.175          33.0103
              7.5               -2                2          243.139          -19.799         -129.213        -0.113212         -72.5791           24.507
                8               -2                2          247.235          16.6118         -131.332         -16.2985         -76.7115          16.7737
              8.5               -2                2          246.576          53.6068         -129.582         -29.7294         -78.4196          10.0349
                9               -2                2          241.839          90.1675         -124.373         -40.3262         -77.9356          4.31539
              9.5               -2                2           233.61          125.492         -116.129         -48.1563          -75.516        -0.420293
               10               -2                2          222.416          158.882         -105.294         -53.3693         -71.4395         -4.23759
             10.5               -2                2           208.66          189.483         -92.2943         -56.0736         -65.9796         -7.18502
               11               -2                2          193.155          217.064         -77.9852         -56.8867         -59.6856         -9.47687
             11.5               -2                2          176.416          241.359          -63.012         -56.2224         -52.9696         -11.2441
               12               -2                2           158.92          262.156         -48.0384          -54.483         -46.2501         -12.5984
             12.5               -2                2          141.146          279.331          -33.794         -52.0774         -39.9759         -13.6327
               13               -2                2          123.519          293.273         -20.8199         -49.3852         -34.4673          -14.429
             13.5               -2                2          106.369           304.23         -9.56479         -46.6331         -29.9765         -15.0083
               14               -2                2          90.0325          312.427        -0.478276         -43.9646         -26.7402         -15.3464
             14.5               -2                2          74.7898          318.316          6.22441         -41.4117          -24.841          -15.392
