           x [mm]           y [mm]           z [mm]       HxRe [A/m]       HxIm [A/m]       HyRe [A/m]       HyIm [A/m]       HzRe [A/m]       HzIm [A/m]
             17.5             -0.5                2        0.0690719        0.0690104         0.267462       -0.0951405        -0.688512         0.592465
               18             -0.5                2        0.0722968        0.0628712          0.27434       -0.0954889        -0.700753         0.589379
             18.5             -0.5                2        0.0753414        0.0562941         0.280389       -0.0999602        -0.708758         0.593957
               19             -0.5                2        0.0779881        0.0493314          0.28516        -0.108244        -0.711447         0.605969
             19.5             -0.5                2        0.0800593        0.0420268         0.288118          -0.1198         -0.70751         0.624698
               20             -0.5                2        0.0814254        0.0344167         0.288768        -0.133721        -0.695877         0.648605
             20.5             -0.5                2         0.081978        0.0265231         0.287369        -0.146416        -0.680008         0.671088
               21             -0.5                2        0.0816442        0.0183701         0.282962        -0.162228        -0.652523         0.699572
             21.5             -0.5                2        0.0804249       0.00999853          0.27531        -0.178793         -0.61438          0.72941
               22             -0.5                2        0.0783033       0.00144754         0.264381         -0.19498        -0.566101          0.75792
             22.5             -0.5                2        0.0752417      -0.00722798         0.250011        -0.210211        -0.507418         0.783199
               23             -0.5                2        0.0712268       -0.0159322         0.232184        -0.223987        -0.438709         0.803305
             23.5             -0.5                2        0.0663142       -0.0245398         0.211197        -0.236063        -0.361401         0.816976
               24             -0.5                2        0.0605163        -0.032901         0.187217        -0.246227        -0.276694         0.822987
             24.5             -0.5                2        0.0538107       -0.0407982         0.160329        -0.254213        -0.185879         0.819835
               25             -0.5                2        0.0462513       -0.0479894         0.130875        -0.259924       -0.0910779         0.806823
             25.5             -0.5                2        0.0379294       -0.0542498        0.0992566        -0.263331       0.00552074         0.783843
               26             -0.5                2        0.0289314        -0.059329        0.0658169        -0.264303          0.10184           0.7507
             26.5             -0.5                2        0.0193532       -0.0628604        0.0308865        -0.262474         0.195394         0.706767
               27             -0.5                2       0.00940972       -0.0646562      -0.00494345        -0.257713         0.283894         0.652872
             27.5             -0.5                2     -0.000673437       -0.0645625       -0.0410973        -0.249797         0.365334         0.589774
               28             -0.5                2       -0.0106434       -0.0624483       -0.0769457        -0.238426         0.437771         0.518224
             28.5             -0.5                2       -0.0201436       -0.0580776        -0.111595        -0.222957         0.498325         0.438666
               29             -0.5                2       -0.0288553       -0.0516604        -0.144215        -0.203422         0.546149         0.353023
             29.5             -0.5                2       -0.0364532       -0.0433458        -0.173905        -0.179705         0.580009         0.262744
               30             -0.5                2       -0.0425976       -0.0333501        -0.199651         -0.15176         0.598708         0.169428
             30.5             -0.5                2       -0.0468519       -0.0219631        -0.220044        -0.119572         0.600477        0.0750619
               31             -0.5                2       -0.0490998       -0.0097469        -0.234456       -0.0839512         0.586239       -0.0180727
             31.5             -0.5                2       -0.0491869       0.00280777        -0.242067       -0.0456255         0.556146        -0.107798
               32             -0.5                2       -0.0469821        0.0151465        -0.241981      -0.00555198         0.510359        -0.191604
             32.5             -0.5                2       -0.0424657        0.0266173        -0.233459        0.0348821         0.449633        -0.266572
               33             -0.5                2       -0.0359466        0.0367054        -0.216868        0.0741294         0.376506        -0.330785
             33.5             -0.5                2       -0.0277003        0.0449356         -0.19244         0.110646         0.293016        -0.382141
               34             -0.5                2       -0.0180634        0.0507917         -0.16048         0.142576         0.201422        -0.418044
             34.5             -0.5                2      -0.00757869        0.0539509        -0.122144         0.168166         0.105084        -0.436836
               35             -0.5                2       0.00315949        0.0543828       -0.0791525         0.186295       0.00759295        -0.438309
             35.5             -0.5                2        0.0135915        0.0520916       -0.0331892         0.195913       -0.0876322        -0.422177
               36             -0.5                2        0.0230672        0.0470873        0.0137348         0.195735        -0.176485        -0.387833
             36.5             -0.5                2        0.0310308        0.0398043        0.0592068         0.185832        -0.255273        -0.337205
               37             -0.5                2        0.0370791          0.03076         0.101084         0.166801        -0.321048        -0.272791
             37.5             -0.5                2        0.0408848         0.020493         0.137346         0.139453        -0.371104        -0.197259
             -2.5                0                2       -0.0887624        0.0661754         0.266069        0.0560431        -0.487483        -0.105315
               -2                0                2        -0.104293         0.038983         0.261189         0.104623         -0.48853        -0.207238
             -1.5                0                2        -0.114884       0.00937949         0.241336         0.147721        -0.461997        -0.301616
               -1                0                2        -0.119803       -0.0211217         0.207019         0.182967        -0.407492        -0.383262
             -0.5                0                2        -0.118842       -0.0508161         0.160392         0.208726        -0.327636         -0.44791
                0                0                2        -0.112354       -0.0783126         0.104566         0.224524        -0.227224        -0.493376
              0.5                0                2        -0.100671        -0.102425        0.0423947         0.230028        -0.110745        -0.517803
                1                0                2        -0.084066        -0.121814       -0.0229677          0.22472        0.0168472         -0.51872
              1.5                0                2       -0.0635876        -0.135922       -0.0877722         0.209774         0.148553        -0.497291
                2                0                2       -0.0402103        -0.144484        -0.148913           0.1864          0.27828        -0.455063
              2.5                0                2       -0.0148786        -0.147396        -0.203607         0.155806         0.400327         -0.39377
                3                0                2        0.0113957        -0.144365        -0.248433          0.11901         0.507676         -0.31459
              3.5                0                2         0.037464        -0.136351        -0.282225        0.0781318         0.596594        -0.222186
                4                0                2        0.0624228         -0.12397        -0.303815        0.0346083         0.663569        -0.119714
              4.5                0                2        0.0853905        -0.107893        -0.312308        -0.010181         0.705449       -0.0103781
                5                0                2         0.105467       -0.0889394        -0.307225       -0.0547921         0.719584         0.102235
              5.5                0                2         0.122264       -0.0682041        -0.290168       -0.0980305         0.707628         0.214556
                6                0                2         0.135413       -0.0465071        -0.262326        -0.138924         0.670588         0.323713
              6.5                0                2         0.144517       -0.0246395        -0.224948        -0.176443         0.609468         0.426723
                7                0                2         0.149542       -0.0033669        -0.180264        -0.209785         0.527636         0.521045
              7.5                0                2         0.150796        0.0167745        -0.130763        -0.238536         0.429674         0.605178
                8                0                2         0.148542         0.035372       -0.0785551         -0.26224         0.319499         0.677728
              8.5                0                2         0.142977        0.0519857       -0.0258047        -0.280143         0.201012         0.736737
                9                0                2         0.134794        0.0665184        0.0253754        -0.292236        0.0792035         0.782138
              9.5                0                2         0.124611        0.0789563        0.0734331         -0.29852       -0.0419752         0.814008
               10                0                2          0.11301        0.0893191          0.11713        -0.298981        -0.159134         0.832446
             10.5                0                2         0.100582        0.0975306         0.155057        -0.293267        -0.268535         0.836813
               11                0                2        0.0880305         0.103918         0.187203        -0.282207        -0.368508         0.829126
             11.5                0                2        0.0758813          0.10864         0.213511        -0.266247        -0.457704         0.810441
               12                0                2        0.0646329         0.111837         0.234102        -0.245896         -0.53514         0.781852
             12.5                0                2        0.0547739         0.113643         0.249374        -0.221861        -0.600328         0.744755
               13                0                2        0.0465193         0.114312         0.260466         -0.19533        -0.654684          0.70153
             13.5                0                2        0.0400507         0.113984         0.268244        -0.167288        -0.699245         0.654024
               14                0                2        0.0355461         0.112749         0.273554        -0.138817        -0.735026         0.604167
             14.5                0                2        0.0329837         0.110731         0.277424        -0.111151        -0.763795         0.554242
               15                0                2        0.0321752         0.108055         0.280723        -0.085326        -0.787418         0.506264
             15.5                0                2        0.0329516         0.104797          0.28408       -0.0622658        -0.807264         0.462037
               16                0                2        0.0351315         0.101001         0.287632       -0.0443926        -0.823052         0.426439
             16.5                0                2        0.0384197        0.0967293         0.291414       -0.0312337        -0.836031         0.399111
               17                0                2        0.0425076        0.0920312         0.297814       -0.0186155        -0.852586         0.370836
             17.5                0                2        0.0470932        0.0869402         0.304263       -0.0130287        -0.865668         0.356018
               18                0                2        0.0519024        0.0814761         0.310789        -0.012605        -0.876335         0.351377
             18.5                0                2        0.0566838        0.0756496          0.31728       -0.0167085        -0.884516         0.355989
               19                0                2         0.061221        0.0694541         0.323257       -0.0250449        -0.889129         0.369762
             19.5                0                2        0.0653364        0.0628738         0.328126       -0.0371109        -0.888768         0.392148
               20                0                2        0.0688961        0.0558871         0.331267        -0.052026        -0.882093          0.42169
             20.5                0                2        0.0717866        0.0484591         0.332274       -0.0659184        -0.871134         0.450356
               21                0                2        0.0739215        0.0405583         0.331051       -0.0836689        -0.850184         0.488202
             21.5                0                2        0.0752737        0.0321893         0.326946        -0.102844        -0.819233         0.529988
               22                0                2        0.0757971        0.0233558         0.319714        -0.122308        -0.778207         0.572812
             22.5                0                2        0.0754168        0.0140737         0.309072        -0.141563        -0.726403         0.614861
               23                0                2        0.0740653       0.00441389         0.294872        -0.160176        -0.663706         0.654166
             23.5                0                2        0.0717418      -0.00548632         0.277288        -0.177896         -0.59115         0.689196
               24                0                2        0.0683983       -0.0154705         0.256371        -0.194526        -0.509546          0.71851
             24.5                0                2        0.0639342       -0.0253177         0.232054        -0.209837        -0.419696         0.740384
               25                0                2        0.0583316       -0.0347442         0.204543        -0.223676        -0.323391         0.753661
             25.5                0                2        0.0516274       -0.0434685         0.174137        -0.235912         -0.22264         0.757718
               26                0                2        0.0438515       -0.0511846          0.14106        -0.246308        -0.119334          0.75185
             26.5                0                2        0.0350189       -0.0574623         0.105459        -0.254375       -0.0156347         0.734798
               27                0                2        0.0253282       -0.0620256        0.0678617         -0.25975        0.0860468         0.706733
             27.5                0                2        0.0149983       -0.0646397        0.0287912        -0.261983         0.183563         0.667812
               28                0                2       0.00428286       -0.0650934       -0.0111709        -0.260529           0.2748         0.618185
             28.5                0                2      -0.00647876       -0.0630452        -0.051245        -0.254406          0.35678         0.557426
               29                0                2       -0.0168829       -0.0586422       -0.0904655        -0.243379         0.428042         0.487121
             29.5                0                2       -0.0265408       -0.0519716        -0.127842        -0.227057         0.486874         0.408304
               30                0                2       -0.0350375       -0.0431926         -0.16224         -0.20512         0.531536         0.322189
             30.5                0                2       -0.0418457       -0.0325263         -0.19209         -0.17719         0.559595         0.230233
               31                0                2       -0.0467231       -0.0205527        -0.216451        -0.144007         0.571229         0.134992
             31.5                0                2       -0.0494089      -0.00776715        -0.234222        -0.106182          0.56591         0.038724
               32                0                2       -0.0496589       0.00526402        -0.244191       -0.0645623         0.543051       -0.0559487
             32.5                0                2       -0.0473316        0.0178517        -0.245227       -0.0205038         0.502593        -0.145795
               33                0                2       -0.0426583        0.0293893        -0.237376        0.0242033          0.44661        -0.228106
             33.5                0                2       -0.0358448        0.0393239        -0.220554        0.0678207         0.376661        -0.300128
               34                0                2       -0.0271543        0.0470537        -0.194709         0.108272         0.294439        -0.358561
             34.5                0                2       -0.0171009        0.0521446        -0.160732         0.143412         0.203053        -0.400788
               35                0                2      -0.00630209        0.0544622        -0.120253         0.171667         0.106227        -0.425656
             35.5                0                2       0.00465636        0.0539179       -0.0748776         0.191569       0.00749015        -0.432015
               36                0                2        0.0150969        0.0504184       -0.0265064         0.201353       -0.0889881        -0.418267
             36.5                0                2        0.0243693         0.044327        0.0222675         0.200621        -0.178876        -0.385548
               37                0                2        0.0319707         0.036119        0.0690503         0.189601        -0.258514        -0.335786
             37.5                0                2        0.0374765        0.0263034         0.111551         0.168777        -0.324483        -0.271168
             -2.5              0.5                2        -0.101418        0.0476624         0.260838         0.108454        -0.456233        -0.196698
               -2              0.5                2        -0.111824        0.0173236         0.245424         0.156978        -0.436548        -0.296435
             -1.5              0.5                2        -0.116691       -0.0144473         0.215464         0.196942        -0.390646        -0.383146
               -1              0.5                2        -0.115543        -0.045948         0.172038         0.225973        -0.319265        -0.451552
             -0.5              0.5                2        -0.108493       -0.0753894         0.117819          0.24279        -0.226031        -0.497897
                0              0.5                2       -0.0961783        -0.101422         0.056239         0.247503        -0.116335        -0.520966
              0.5              0.5                2       -0.0791844        -0.122903      -0.00956675         0.240329       0.00480093        -0.519814
                1              0.5                2       -0.0580789        -0.138528       -0.0760935         0.221361         0.131712        -0.493007
              1.5              0.5                2       -0.0340806        -0.147953        -0.139623         0.192564         0.257501        -0.443162
                2              0.5                2      -0.00827545        -0.151129        -0.197148         0.155821         0.376293        -0.373107
              2.5              0.5                2        0.0183119         -0.14816        -0.246017         0.112949         0.482671        -0.285793
                3              0.5                2        0.0445352        -0.138983        -0.282879        0.0657115         0.569758        -0.183924
              3.5              0.5                2        0.0693881        -0.124835        -0.307077        0.0165498         0.634893        -0.072969
                4              0.5                2        0.0920459        -0.106548        -0.317794       -0.0327961         0.675302        0.0431304
              4.5              0.5                2         0.111722       -0.0850091        -0.314506       -0.0806937         0.688613         0.160444
                5              0.5                2         0.127649       -0.0612543        -0.297176        -0.125521         0.673102         0.274745
              5.5              0.5                2         0.139676       -0.0364787        -0.267861        -0.166348         0.631402          0.38278
                6              0.5                2         0.147612       -0.0115931        -0.228133        -0.202385         0.565332         0.481833
              6.5              0.5                2         0.151237        0.0125156        -0.179643         -0.23278          0.47676         0.569053
                7              0.5                2          0.15072        0.0350733        -0.124972        -0.257129         0.369817          0.64256
              7.5              0.5                2         0.146536        0.0556162       -0.0668247        -0.275493         0.249563         0.701813
                8              0.5                2         0.139083        0.0737932      -0.00750177        -0.287812         0.120343          0.74623
              8.5              0.5                2         0.128706        0.0892096        0.0505735        -0.293719       -0.0133571         0.774629
                9              0.5                2         0.116178         0.101928         0.105294        -0.293646        -0.146524         0.788058
              9.5              0.5                2         0.102166         0.112072         0.155145        -0.287933        -0.275243         0.787488
               10              0.5                2        0.0872855          0.11979         0.198938        -0.276847        -0.396188         0.773808
             10.5              0.5                2        0.0721902         0.125131          0.23524        -0.260343        -0.505499         0.747239
               11              0.5                2        0.0575205         0.128575         0.264358        -0.239364        -0.602132         0.710324
             11.5              0.5                2        0.0437747         0.130394         0.286422        -0.214456         -0.68509         0.664549
               12              0.5                2        0.0314234         0.130832         0.301757        -0.186204        -0.753756         0.611376
             12.5              0.5                2        0.0209197         0.130126         0.311003        -0.155363        -0.808086         0.552505
               13              0.5                2        0.0123938         0.128586         0.315613        -0.123012        -0.850155         0.490187
             13.5              0.5                2       0.00597497         0.126398         0.316701       -0.0900705        -0.881509          0.42621
               14              0.5                2       0.00180052         0.123703         0.315365       -0.0575727        -0.903673         0.362478
             14.5              0.5                2     -0.000205213         0.120638         0.312888       -0.0266386        -0.918985         0.301041
               15              0.5                2     -0.000280594         0.117312         0.310329       0.00183234        -0.929786         0.243578
             15.5              0.5                2       0.00137408         0.113787         0.308478        0.0270105        -0.937858         0.191657
               16              0.5                2       0.00455804         0.110097         0.307971        0.0464246        -0.944156         0.150446
             16.5              0.5                2       0.00895999         0.106265         0.308713        0.0607143        -0.949787          0.11904
               17              0.5                2        0.0142649         0.102293         0.312033        0.0745472        -0.958541        0.0865914
             17.5              0.5                2        0.0201727        0.0981642         0.316878        0.0809214         -0.96724        0.0693965
               18              0.5                2        0.0264189        0.0938441          0.32286         0.081872        -0.976072        0.0636321
             18.5              0.5                2        0.0327643        0.0892848         0.329733        0.0780863        -0.984722        0.0682721
               19              0.5                2        0.0390097        0.0844196         0.336994        0.0698433        -0.992127        0.0833621
             19.5              0.5                2        0.0449932        0.0791707         0.343992        0.0576096        -0.996809         0.108543
               20              0.5                2        0.0505925        0.0734554          0.34999        0.0422212        -0.997149         0.142506
             20.5              0.5                2        0.0557048        0.0671773          0.35382         0.027673        -0.993234          0.17614
               21              0.5                2         0.060245        0.0602438         0.356431       0.00874386        -0.981905         0.221719
             21.5              0.5                2        0.0641681        0.0526127         0.356724       -0.0121543        -0.961937         0.273646
               22              0.5                2        0.0674089        0.0442429         0.354239       -0.0339416         -0.93257         0.328947
             22.5              0.5                2        0.0698644        0.0350994          0.34859       -0.0562374        -0.892672          0.38601
               23              0.5                2        0.0714198        0.0252127          0.33951       -0.0787224        -0.841618         0.442965
             23.5              0.5                2        0.0720138         0.014718         0.327046        -0.101184        -0.779974         0.498116
               24              0.5                2        0.0715361       0.00376354         0.311123        -0.123483        -0.708098         0.549913
             24.5              0.5                2        0.0698058      -0.00744528         0.291523         -0.14548        -0.626245         0.596534
               25              0.5                2        0.0667223       -0.0185986         0.268289        -0.167016        -0.535752         0.636455
             25.5              0.5                2        0.0622528        -0.029369         0.241579        -0.187883        -0.438325         0.668589
               26              0.5                2        0.0563569       -0.0394059         0.211459        -0.207774        -0.335533         0.691769
             26.5              0.5                2        0.0489524       -0.0482319         0.177842        -0.226118        -0.229058         0.704193
               27              0.5                2        0.0402007       -0.0554835         0.141129         -0.24233        -0.121265         0.705341
             27.5              0.5                2        0.0302947       -0.0608436         0.101726        -0.255727       -0.0142953         0.694732
               28              0.5                2        0.0194706       -0.0640188        0.0601041        -0.265513        0.0897138         0.671868
             28.5              0.5                2       0.00802675       -0.0645639        0.0168398        -0.270372         0.187907         0.635427
               29              0.5                2      -0.00356184       -0.0625423       -0.0270192        -0.269748         0.278291         0.586495
             29.5              0.5                2       -0.0148554       -0.0579644       -0.0704477        -0.262935         0.358769         0.525569
               30              0.5                2        -0.025376       -0.0509163        -0.112243        -0.249284         0.427156         0.453332
             30.5              0.5                2       -0.0345197       -0.0415303        -0.150746        -0.227996         0.480478         0.370551
               31              0.5                2       -0.0419131       -0.0303784        -0.184691        -0.199666         0.518095         0.279863
             31.5              0.5                2       -0.0471875       -0.0179385        -0.212707        -0.164716         0.538774         0.183442
               32              0.5                2       -0.0499828      -0.00476605        -0.233263        -0.123809         0.541148        0.0838429
             32.5              0.5                2       -0.0500285       0.00843661        -0.244824       -0.0781893         0.524265       -0.0155867
               33              0.5                2        -0.047459        0.0209868        -0.247039       -0.0298349         0.489539        -0.111448
             33.5              0.5                2       -0.0423952         0.032268        -0.239456        0.0193715         0.437891        -0.200447
               34              0.5                2       -0.0350109        0.0416071        -0.221601        0.0671911         0.370283        -0.278705
             34.5              0.5                2         -0.02577        0.0484658        -0.194011         0.111118         0.289347        -0.342698
               35              0.5                2       -0.0152935        0.0526019        -0.158133         0.149119         0.198717        -0.390294
             35.5              0.5                2       -0.0041754        0.0538307        -0.115408         0.179302         0.101836         -0.41945
               36              0.5                2        0.0068981        0.0519523       -0.0675357          0.19942       0.00271401        -0.427561
             36.5              0.5                2        0.0171962        0.0472433       -0.0172085         0.208558       -0.0938596        -0.414826
               37              0.5                2        0.0261254        0.0401193        0.0329871         0.206509         -0.18364        -0.382451
             37.5              0.5                2          0.03317        0.0310438        0.0805378         0.193373        -0.262607        -0.331984
             -2.5                1                2         -0.10988        0.0270068         0.246407         0.160207        -0.407194        -0.278904
               -2                1                2        -0.114634      -0.00543596         0.220351          0.20666        -0.367833        -0.372068
             -1.5                1                2        -0.113446       -0.0382106         0.180728         0.241464        -0.304691        -0.447065
               -1                1                2        -0.106136       -0.0694714         0.129213         0.262364        -0.219648        -0.498766
             -0.5                1                2       -0.0931504       -0.0974037        0.0689597         0.268546        -0.117226        -0.524149
                0                1                2       -0.0754085        -0.120755       0.00363467         0.260797      -0.00322117        -0.523094
              0.5                1                2       -0.0537407        -0.138479        -0.063433         0.239967         0.116992          -0.4957
                1                1                2       -0.0290051        -0.149364        -0.128481         0.206859          0.23725        -0.441735
              1.5                1                2       -0.0025491        -0.153326        -0.187972          0.16426          0.35105        -0.365259
                2                1                2        0.0244715        -0.150554        -0.239123         0.114729         0.452997        -0.270342
              2.5                1                2         0.050993        -0.141392         -0.27954        0.0606918         0.538211        -0.161096
                3                1                2        0.0757803        -0.126043        -0.306097       0.00466802         0.600281        -0.041728
              3.5                1                2        0.0980276           -0.106        -0.318735        -0.050683         0.637792        0.0817279
                4                1                2         0.117035       -0.0823019        -0.317069        -0.103387         0.648884         0.204719
              4.5                1                2         0.132158       -0.0560382        -0.301029        -0.151641         0.632138         0.322773
                5                1                2          0.14281       -0.0284434        -0.271081        -0.193743          0.58691         0.431252
              5.5                1                2         0.149102     -0.000760776        -0.229723        -0.229148         0.516766          0.52746
                6                1                2         0.151046        0.0260462        -0.178894        -0.257346         0.424324         0.609047
              6.5                1                2         0.148624        0.0510337         -0.12064        -0.277774         0.312312         0.673517
                7                1                2         0.142213        0.0734681       -0.0578374         -0.29052         0.185507         0.719853
              7.5                1                2         0.132443        0.0930023       0.00668818        -0.296189        0.0492442         0.748606
                8                1                2         0.119839         0.109384         0.070518        -0.295175       -0.0918635         0.760121
              8.5                1                2         0.104888         0.122304         0.131042        -0.287564        -0.232904         0.754153
                9                1                2        0.0884079         0.132011         0.186267        -0.274244        -0.369091         0.732871
              9.5                1                2        0.0710856         0.138786           0.2348        -0.255886        -0.496759         0.698136
               10                1                2        0.0535436         0.142921         0.275579        -0.233031        -0.612829         0.651607
             10.5                1                2        0.0364693          0.14461         0.307235        -0.205948         -0.71353         0.594395
               11                1                2        0.0204024         0.144475         0.330441        -0.175618        -0.798597           0.5294
             11.5                1                2       0.00578671         0.142897         0.345568        -0.142645        -0.867516         0.458437
               12                1                2      -0.00696202         0.140219         0.353181        -0.107641        -0.920153         0.383238
             12.5                1                2       -0.0174534         0.136777         0.354198       -0.0713535        -0.957016         0.305683
               13                1                2       -0.0256585         0.132911         0.350384       -0.0346784        -0.980855         0.227713
             13.5                1                2       -0.0315153         0.128842         0.343098       0.00158562         -0.99374         0.150922
               14                1                2       -0.0349424         0.124749         0.333698        0.0365113        -0.997745        0.0770499
             14.5                1                2       -0.0360769         0.120771           0.3237        0.0691501        -0.995755       0.00776559
               15                1                2        -0.035206         0.116985         0.314323        0.0987847        -0.990525       -0.0557118
             15.5                1                2       -0.0325603         0.113429         0.306497         0.124721        -0.984215        -0.112151
               16                1                2         -0.02836         0.110125         0.301385         0.144573        -0.979142        -0.156427
             16.5                1                2       -0.0229247         0.107051         0.298695         0.159128        -0.976101        -0.189941
               17                1                2       -0.0165647         0.104159         0.298545         0.173225        -0.975802        -0.224471
             17.5                1                2      -0.00956542         0.101382          0.30156         0.179808        -0.979533        -0.242864
               18                1                2      -0.00216845        0.0986336         0.306878         0.180977        -0.986414        -0.249249
             18.5                1                2       0.00541569        0.0958091           0.3141         0.177442        -0.995849         -0.24469
               19                1                2         0.013021        0.0927852         0.322694         0.169471         -1.00681        -0.229011
             19.5                1                2        0.0205187        0.0894237         0.331968         0.157497         -1.01777        -0.202362
               20                1                2        0.0278154        0.0855817         0.341073         0.142287         -1.02684        -0.165836
             20.5                1                2        0.0348361        0.0811016         0.348022         0.127773         -1.03176         -0.12911
               21                1                2        0.0415145        0.0758267         0.354943         0.108652         -1.03267       -0.0783746
             21.5                1                2        0.0478006        0.0696611         0.360287        0.0872022         -1.02695       -0.0192637
               22                1                2        0.0536218        0.0625119         0.363382        0.0643874         -1.01311         0.045356
             22.5                1                2        0.0588606        0.0542833         0.363776        0.0404337        -0.989615         0.114186
               23                1                2        0.0633652        0.0449518         0.361104           0.0155        -0.955352         0.185589
             23.5                1                2        0.0670131        0.0346355         0.355288       -0.0102893        -0.910372         0.257831
               24                1                2        0.0696332        0.0234588          0.34614       -0.0369033        -0.854551         0.329374
             24.5                1                2        0.0709667        0.0115925         0.333295       -0.0643487        -0.787565         0.398445
               25                1                2        0.0708227     -0.000646147          0.31662       -0.0925099         -0.71021          0.46328
             25.5                1                2        0.0690861       -0.0128976         0.296098        -0.121152        -0.623767         0.522406
               26                1                2        0.0656339       -0.0247808         0.271604        -0.149935         -0.52937         0.574286
             26.5                1                2        0.0602746       -0.0357919         0.242779        -0.178268        -0.428081         0.616696
               27                1                2        0.0531105       -0.0454847         0.209827        -0.205359        -0.322049          0.64844
             27.5                1                2        0.0442896       -0.0534636         0.172975        -0.230308        -0.213247         0.668395
               28                1                2        0.0340113       -0.0593541         0.132513        -0.252075        -0.103675         0.675406
             28.5                1                2        0.0225094       -0.0626145        0.0887258        -0.269035        0.0041579          0.66728
               29                1                2        0.0103124       -0.0632075        0.0426755        -0.280261         0.107844         0.644463
             29.5                1                2      -0.00210526       -0.0610548       -0.0046451        -0.284701         0.205036         0.606807
               30                1                2       -0.0142177       -0.0561551       -0.0520303        -0.281339         0.293228         0.554351
             30.5                1                2       -0.0253623       -0.0485359       -0.0978131        -0.268909         0.369073          0.48703
               31                1                2       -0.0350358        -0.038734        -0.140413        -0.247772         0.431082         0.407358
             31.5                1                2       -0.0427644       -0.0271884        -0.178208        -0.218095         0.477331         0.317251
               32                1                2       -0.0480741       -0.0144201        -0.209369         -0.18028         0.505686          0.21901
             32.5                1                2       -0.0505622      -0.00111965        -0.231954        -0.135372         0.514264         0.115888
               33                1                2        -0.050251        0.0119736        -0.245155       -0.0854685         0.503649        0.0118225
             33.5                1                2       -0.0471642        0.0241961        -0.248102       -0.0325303         0.473991       -0.0894974
               34                1                2       -0.0413733        0.0348211        -0.239847        0.0211101         0.425385        -0.183774
             34.5                1                2       -0.0332724        0.0432164         -0.22049        0.0726344         0.359771        -0.266682
               35                1                2       -0.0234658        0.0490327        -0.191196         0.119564         0.280467         -0.33512
             35.5                1                2        -0.012538        0.0519894        -0.153157         0.159594         0.190628        -0.386168
               36                1                2      -0.00116502          0.05178        -0.107774         0.190012        0.0938783        -0.416246
             36.5                1                2        0.0098583        0.0485815       -0.0577514         0.209343      -0.00474139        -0.424517
               37                1                2        0.0198595         0.042735      -0.00579705         0.216901        -0.100562         -0.41133
             37.5                1                2         0.028241        0.0346432        0.0454143         0.212347        -0.189101        -0.377473
             -2.5              1.5                2        -0.113963       0.00511514         0.223099         0.209637        -0.343409        -0.349133
               -2              1.5                2         -0.11276       -0.0283285          0.18668         0.252001        -0.286231        -0.431816
             -1.5              1.5                2        -0.105428        -0.060924         0.138226         0.279717        -0.208675        -0.491729
               -1              1.5                2       -0.0921106       -0.0907334        0.0800105         0.290764        -0.113726        -0.524128
             -0.5              1.5                2       -0.0735956        -0.115978        0.0156083         0.284916      -0.00665647        -0.526922
                0              1.5                2       -0.0510629        -0.135556       -0.0511874         0.263711         0.106552        -0.501178
              0.5              1.5                2       -0.0255726        -0.148567        -0.116955         0.228703         0.220376        -0.448123
                1              1.5                2       0.00174292        -0.153951        -0.177793         0.181494         0.328399        -0.368852
              1.5              1.5                2        0.0294572        -0.151918        -0.230496         0.125692         0.424797        -0.268795
