           x [mm]           y [mm]           z [mm]       HxRe [A/m]       HxIm [A/m]       HyRe [A/m]       HyIm [A/m]       HzRe [A/m]       HzIm [A/m]
             30.5             -2.5                2       -0.0388652         0.023683        -0.189826         0.109425         0.356735        -0.483591
               31             -2.5                2       -0.0320925        0.0312231        -0.171231         0.133523         0.271346        -0.512795
             31.5             -2.5                2       -0.0241703        0.0376543        -0.148497         0.154552         0.182539        -0.527888
               32             -2.5                2       -0.0153113        0.0426561        -0.121781         0.171738        0.0924667        -0.528176
             32.5             -2.5                2       -0.0058246        0.0459088       -0.0914798         0.184193       0.00370082        -0.513274
               33             -2.5                2        0.0038938        0.0473273       -0.0584895         0.191534       -0.0814258        -0.484508
             33.5             -2.5                2        0.0134748        0.0468125       -0.0236449         0.193234        -0.160696        -0.442649
               34             -2.5                2         0.022488        0.0442617        0.0120316         0.188603        -0.231517        -0.388336
             34.5             -2.5                2        0.0304872        0.0397737        0.0471881         0.177404        -0.291615        -0.323284
               35             -2.5                2        0.0371385         0.033628        0.0805133         0.159958        -0.339649        -0.249875
             35.5             -2.5                2        0.0421298        0.0261029         0.110699         0.136568         -0.37421        -0.170247
               36             -2.5                2        0.0450825        0.0175236         0.136099         0.107545        -0.393303       -0.0867659
             36.5             -2.5                2        0.0458865        0.0084118         0.155527        0.0741004        -0.396755      -0.00257889
               37             -2.5                2        0.0445561     -0.000733085         0.168149        0.0375912        -0.384957        0.0794045
             37.5             -2.5                2        0.0411547       -0.0094292         0.173251     -0.000557897        -0.358389         0.156336
             -2.5               -2                2      -0.00713024         0.103383         0.199816        -0.125989        -0.401273          0.27443
               -2               -2                2       -0.0341826        0.0962953         0.228648       -0.0947927        -0.476968         0.209811
             -1.5               -2                2       -0.0600222         0.084714         0.245714       -0.0586345        -0.530758         0.131884
               -1               -2                2       -0.0833716        0.0691214         0.249823       -0.0189923        -0.558784        0.0433253
             -0.5               -2                2         -0.10311        0.0504175         0.241098        0.0222293         -0.55956       -0.0518823
                0               -2                2        -0.118586        0.0296382         0.220877        0.0632401        -0.534311        -0.149597
              0.5               -2                2        -0.129238       0.00766899         0.190421         0.102463        -0.484252        -0.246081
                1               -2                2        -0.134355       -0.0145671          0.15099         0.138087        -0.410354        -0.337013
              1.5               -2                2        -0.134089       -0.0361424         0.105286           0.1688          -0.3174        -0.418728
                2               -2                2        -0.128722       -0.0563494        0.0557078         0.193604        -0.209923        -0.488289
              2.5               -2                2         -0.11861       -0.0745951       0.00450408         0.211632       -0.0923587         -0.54306
                3               -2                2        -0.103983       -0.0901543       -0.0458543         0.221537        0.0305668        -0.579212
              3.5               -2                2       -0.0859854        -0.102911       -0.0932761         0.223623         0.153322        -0.596719
                4               -2                2        -0.065412          -0.1127        -0.136117         0.217826         0.271636        -0.594835
              4.5               -2                2       -0.0430901        -0.119398        -0.172894         0.204151         0.381401        -0.572968
                5               -2                2        -0.019963        -0.122948        -0.202277         0.182784         0.478523        -0.530915
              5.5               -2                2       0.00303234        -0.123719        -0.224228         0.154953         0.561286        -0.471244
                6               -2                2        0.0251474        -0.121935        -0.238663          0.12155         0.628167        -0.395698
              6.5               -2                2        0.0456248        -0.117779        -0.245511        0.0834875         0.677614         -0.30597
                7               -2                2         0.063865        -0.111609         -0.24544        0.0421758          0.70973        -0.205123
              7.5               -2                2        0.0795768        -0.103847        -0.239575     -0.000884904         0.726059       -0.0966625
                8               -2                2        0.0925356       -0.0948165        -0.228843       -0.0443671         0.727895        0.0163854
              8.5               -2                2         0.102459       -0.0847971        -0.214061       -0.0867866         0.716201         0.130806
                9               -2                2         0.109557       -0.0741799        -0.196537        -0.126798         0.693823         0.243188
              9.5               -2                2         0.114082       -0.0632726         -0.17727        -0.163343         0.663113         0.350799
               10               -2                2          0.11631       -0.0523472        -0.157075        -0.195507         0.626111         0.451229
             10.5               -2                2         0.116464       -0.0417071        -0.136671        -0.222085         0.584556         0.541465
               11               -2                2         0.115155       -0.0315842        -0.116617        -0.243093         0.540649         0.620752
             11.5               -2                2         0.112791        -0.022186       -0.0972363        -0.258412         0.495738         0.688206
               12               -2                2         0.109763       -0.0137251        -0.078741        -0.268049         0.450912          0.74316
             12.5               -2                2         0.106472      -0.00642818       -0.0612371        -0.272252         0.407059         0.785336
               13               -2                2         0.103256     -0.000358381       -0.0446262        -0.272059          0.36462         0.816322
             13.5               -2                2         0.100347       0.00439074       -0.0288263        -0.268296         0.323855         0.837271
               14               -2                2        0.0979289       0.00769243       -0.0137714        -0.261836         0.284984         0.849342
             14.5               -2                2        0.0960857       0.00952906      0.000624262         -0.25386         0.248077          0.85456
               15               -2                2        0.0947853       0.00998578        0.0144096        -0.245481         0.213132         0.855124
             15.5               -2                2        0.0939557       0.00912245        0.0275415        -0.237624           0.1803         0.852825
               16               -2                2        0.0934742       0.00698827        0.0388761        -0.231643         0.152376         0.849639
             16.5               -2                2        0.0931547       0.00373405        0.0484583        -0.227643         0.129082         0.846903
               17               -2                2        0.0927876     -0.000463621        0.0603962        -0.225093          0.10057         0.844845
             17.5               -2                2        0.0921548      -0.00541661        0.0691667        -0.225847        0.0801181          0.84548
               18               -2                2        0.0910558       -0.0109342        0.0755892        -0.229187        0.0657223         0.848531
             18.5               -2                2        0.0893145       -0.0168171        0.0798199        -0.234819        0.0571004         0.853749
               19               -2                2        0.0867821       -0.0228774        0.0815271        -0.242367         0.055194         0.860546
             19.5               -2                2         0.083355       -0.0289363        0.0803913         -0.25122        0.0609399         0.867851
               20               -2                2        0.0789846       -0.0348366        0.0762808        -0.260499        0.0747628         0.874151
             20.5               -2                2        0.0736448       -0.0404375        0.0706895        -0.267951        0.0922086         0.877568
               21               -2                2        0.0673625       -0.0456152        0.0613241        -0.275777         0.120452         0.877796
             21.5               -2                2        0.0602499       -0.0502899        0.0488621        -0.282206         0.157329         0.872511
               22               -2                2        0.0524017       -0.0543874        0.0337807        -0.286367         0.201328         0.860173
             22.5               -2                2        0.0439174       -0.0578175        0.0162913         -0.28766         0.251603          0.83916
               23               -2                2        0.0349417       -0.0605006      -0.00323959        -0.285636         0.306677          0.80819
             23.5               -2                2         0.025652       -0.0624144       -0.0242887        -0.280258         0.364567         0.767131
               24               -2                2        0.0161978       -0.0635004       -0.0464325        -0.271462         0.423437          0.71577
             24.5               -2                2       0.00674104       -0.0636475       -0.0692383        -0.259128         0.481144         0.653778
               25               -2                2      -0.00253878       -0.0627963       -0.0921839        -0.243481         0.535379         0.582004
             25.5               -2                2       -0.0114838       -0.0609177        -0.114803         -0.22487         0.584206         0.501832
               26               -2                2       -0.0199341       -0.0579572        -0.136655        -0.203556         0.625762         0.414565
             26.5               -2                2       -0.0276685       -0.0537945         -0.15718        -0.179685         0.657623         0.321537
               27               -2                2       -0.0345323       -0.0484661        -0.175937        -0.153701         0.678633         0.225028
             27.5               -2                2       -0.0403754       -0.0420167        -0.192501        -0.125942         0.687905          0.12708
               28               -2                2       -0.0450375       -0.0345063        -0.206418       -0.0967007         0.684681         0.029679
             28.5               -2                2       -0.0482399        -0.025978        -0.216911       -0.0662129         0.667444       -0.0647424
               29               -2                2       -0.0499449        -0.016695        -0.223721       -0.0349391         0.637238        -0.154238
             29.5               -2                2        -0.050057      -0.00688707        -0.226422      -0.00326638         0.594518        -0.236974
               30               -2                2       -0.0484905       0.00317151        -0.224553        0.0283556         0.539884        -0.311105
             30.5               -2                2       -0.0451196        0.0131165        -0.217423        0.0592896         0.473867        -0.374225
               31               -2                2       -0.0401253        0.0225735        -0.205167        0.0888989         0.398831        -0.425653
             31.5               -2                2       -0.0336224        0.0311802        -0.187709         0.116465         0.316486        -0.464275
               32               -2                2        -0.025761        0.0385356        -0.164998         0.141093         0.228687        -0.488802
             32.5               -2                2       -0.0167979        0.0442178        -0.137226         0.161701         0.137812        -0.498098
               33               -2                2       -0.0071415        0.0480347        -0.105271         0.177618        0.0465326        -0.492767
             33.5               -2                2       0.00283338        0.0497917       -0.0699144         0.188054       -0.0427236        -0.472901
               34               -2                2        0.0126887        0.0492811       -0.0321088         0.192017        -0.127161        -0.438359
             34.5               -2                2        0.0219244        0.0465079       0.00672518         0.188928        -0.203962        -0.390169
               35               -2                2        0.0301223        0.0416966        0.0450824         0.178828        -0.271038        -0.330311
             35.5               -2                2        0.0368916        0.0350767        0.0814755         0.161752        -0.326304         -0.26053
               36               -2                2        0.0417661        0.0269151         0.114067         0.137688        -0.367017        -0.182668
             36.5               -2                2        0.0445223         0.017743          0.14132         0.107682        -0.392078       -0.0998862
               37               -2                2        0.0450747       0.00809234         0.162057        0.0730135        -0.401053       -0.0152754
             37.5               -2                2         0.043396      -0.00151548         0.175231        0.0350612        -0.393655        0.0680982
             -2.5             -1.5                2        -0.030621         0.100817         0.228152       -0.0878802        -0.455341         0.186171
               -2             -1.5                2       -0.0564183        0.0879707         0.250472       -0.0501236        -0.515561         0.105705
             -1.5             -1.5                2       -0.0799543        0.0708339         0.259589      -0.00957558        -0.550878          0.01653
               -1             -1.5                2        -0.100008        0.0501673         0.254622        0.0319597        -0.558058       -0.0777875
             -0.5             -1.5                2        -0.115616        0.0271249         0.236154        0.0724925        -0.536557        -0.172854
                0             -1.5                2        -0.126337       0.00290033            0.206         0.110402        -0.488585        -0.264699
              0.5             -1.5                2        -0.131799        -0.021483         0.165851         0.144276        -0.416262        -0.349756
                1             -1.5                2        -0.131486       -0.0449288         0.117466         0.172453         -0.32162        -0.423795
              1.5             -1.5                2        -0.125785        -0.066523        0.0639481         0.194106        -0.210328        -0.484109
                2             -1.5                2         -0.11517       -0.0856031       0.00800949         0.208686       -0.0876286        -0.528694
              2.5             -1.5                2        -0.100166        -0.101638       -0.0478351         0.215753        0.0414063        -0.555834
                3             -1.5                2       -0.0812145        -0.113934         -0.10073         0.214421         0.171124        -0.562677
              3.5             -1.5                2       -0.0595385        -0.122619        -0.148642         0.205479         0.296025        -0.550468
                4             -1.5                2       -0.0360153        -0.127691         -0.18991         0.189238         0.411688        -0.519448
              4.5             -1.5                2       -0.0115438        -0.129203        -0.223058         0.166058         0.513897        -0.470004
                5             -1.5                2        0.0128768        -0.127296        -0.246829         0.136477         0.598556         -0.40295
              5.5             -1.5                2        0.0363777        -0.122549        -0.261526          0.10184          0.66461        -0.321392
                6             -1.5                2        0.0582499        -0.115355        -0.267322        0.0631553         0.710993        -0.227566
              6.5             -1.5                2        0.0777677        -0.106063        -0.264404        0.0214622         0.736587        -0.123693
                7             -1.5                2        0.0944251       -0.0951744        -0.253814       -0.0218472         0.742247       -0.0130034
              7.5             -1.5                2         0.108054       -0.0831913        -0.237054       -0.0654141         0.730353         0.101194
                8             -1.5                2         0.118529       -0.0705023        -0.215375        -0.108019         0.702906         0.216024
              8.5             -1.5                2         0.125657       -0.0574676        -0.189942        -0.148241         0.661606         0.328307
                9             -1.5                2         0.129776       -0.0444579        -0.162355        -0.184974          0.61007         0.435221
              9.5             -1.5                2         0.131243       -0.0317499        -0.133835        -0.217358         0.551253         0.534551
               10             -1.5                2          0.13042       -0.0195793        -0.105373        -0.244644         0.487723         0.624349
             10.5             -1.5                2         0.127629      -0.00823409       -0.0779272        -0.265766         0.421878          0.70198
               11             -1.5                2         0.123545       0.00217044       -0.0520247        -0.280956         0.356084         0.767375
             11.5             -1.5                2         0.118633        0.0114982       -0.0279961        -0.290234         0.291892         0.820096
               12             -1.5                2         0.113337        0.0196049      -0.00603824        -0.293738         0.230559         0.859884
             12.5             -1.5                2         0.108106        0.0263364        0.0137979        -0.291844         0.173078          0.88687
               13             -1.5                2         0.103282        0.0317126        0.0318175        -0.285692         0.119593         0.902975
             13.5             -1.5                2        0.0991061         0.035697         0.048255        -0.276193        0.0701774          0.90961
