#Parameters = {CPWG_cut=1.25; GND_len=30; GND_wid=5; Strip_wid=0.85; arr1_posx=10; clrGND=5; couplline_len1=0; couplline_len2=2; couplline_len3=1; couplline_pos=1.5; dip_len=3; dip_pos=3; dip_wid=0.4; dipext_len=2; feed_pos=0.3; gap=0.2; notch_len=2; patch_wid=2.6; sub_h=0.5; via_num=10}
#"Frequency / GHz"	"R1_0_0 [1] [Real/Imaginary Part] [Re]"	"R1_0_0 [1] [Real/Imaginary Part] [Im]"
#-------------------------------------------------------------------------------------------------
10.000000000000	0.014468754342873	0.0099676494087023
10.030000000000	0.015147728295583	0.0096613118567791
10.060000000000	0.015828814132111	0.0093161985084383
10.090000000000	0.016510938829080	0.0089318751670303
10.120000000000	0.017193170373056	0.0085074867610597
10.150000000000	0.017874524723392	0.0080416981106918
10.180000000000	0.018553759185521	0.0075327003508030
10.210000000000	0.019229172725915	0.0069782848674877
10.240000000000	0.019898433583733	0.0063759804708410
10.270000000000	0.020558452586355	0.0057232436584550
10.300000000000	0.021205316994370	0.0050176867182751
10.330000000000	0.021834294759214	0.0042573245169503
10.360000000000	0.022439913162020	0.0034408184688117
10.390000000000	0.023016109388611	0.0025676956082314
10.420000000000	0.023556444204986	0.0016385219803862
10.450000000000	0.024054364058951	0.00065501265887529
10.480000000000	0.024503492141296	-0.00037993461700643
10.510000000000	0.024897925614076	-0.0014622892595871
10.540000000000	0.025232514665283	-0.0025870214469062
10.570000000000	0.025503099454824	-0.0037483128675523
10.600000000000	0.025706683401282	-0.0049398312025019
10.630000000000	0.025841525491994	-0.0061550490504890
10.660000000000	0.025907140101500	-0.0073875834272439
10.690000000000	0.025904199767292	-0.0086315291206790
10.720000000000	0.025834343988072	-0.0098817583440134
10.750000000000	0.025699904806496	-0.011134160429336
10.780000000000	0.025503567122529	-0.012385798716767
10.810000000000	0.025247987785806	-0.013634967128852
10.840000000000	0.024935402033452	-0.014881135835347
10.870000000000	0.024567248377595	-0.016124783441233
10.900000000000	0.024143843345812	-0.017367121706413
10.930000000000	0.023664135439233	-0.018609727309517
10.960000000000	0.023125563368021	-0.019854102970142
10.990000000000	0.022524037291486	-0.021101196748922
11.020000000000	0.021854053822758	-0.022350913037404
11.050000000000	0.021108946476087	-0.023601651232875
11.080000000000	0.020281263651401	-0.024849908118840
11.110000000000	0.019363256828822	-0.026089977461301
11.140000000000	0.018347453051840	-0.027313775383364
11.170000000000	0.017227278635007	-0.028510812968986
11.200000000000	0.015997695874748	-0.029668328700399
11.230000000000	0.014655811777957	-0.030771583311723
11.260000000000	0.013201417702750	-0.031804309093930
11.290000000000	0.011637421402781	-0.032749295311781
11.320000000000	0.0099701381710169	-0.033589081889792
11.350000000000	0.0082094153026581	-0.034306725541855
11.380000000000	0.0063685734917261	-0.034886596615219
11.410000000000	0.0044641594627257	-0.035315161519717
11.440000000000	0.0025155154456701	-0.035581704981841
11.470000000000	0.00054418231000511	-0.035678948584548
11.500000000000	-0.0014268364392556	-0.035603527025006
11.530000000000	-0.0033739137030616	-0.035356290960680
11.560000000000	-0.0052736979400838	-0.034942414773956
11.590000000000	-0.0071040251906951	-0.034371298488854
11.620000000000	-0.0088447952275794	-0.033656264747549
11.650000000000	-0.010478764489739	-0.032814063476581
11.680000000000	-0.011992212689980	-0.031864207917068
11.710000000000	-0.013375446791518	-0.030828175379054
11.740000000000	-0.014623115006362	-0.029728513815057
11.770000000000	-0.015734314022626	-0.028587900626060
11.800000000000	-0.016712484169314	-0.027428202704331
11.830000000000	-0.017565098971721	-0.026269586444815
11.860000000000	-0.018303166827066	-0.025129723364464
11.890000000000	-0.018940572665304	-0.024023131275523
11.920000000000	-0.019493295862340	-0.022960683042135
11.950000000000	-0.019978546866923	-0.021949305318479
11.980000000000	-0.020413868659219	-0.020991878926827
12.010000000000	-0.020816250112136	-0.020087341347023
12.040000000000	-0.021201296580447	-0.019230980829573
12.070000000000	-0.021582498767810	-0.018414901556751
12.100000000000	-0.021970634439447	-0.017628630633534
12.130000000000	-0.022373329306116	-0.016859830961179
12.160000000000	-0.022794793945441	-0.016095079567889
12.190000000000	-0.023235743548821	-0.015320668931043
12.220000000000	-0.023693497202580	-0.014523389255960
12.250000000000	-0.024162243924723	-0.013691252456298
12.280000000000	-0.024633454318398	-0.012814123450920
12.310000000000	-0.025096409913561	-0.011884230973640
12.340000000000	-0.025538817377532	-0.010896537919141
12.370000000000	-0.025947471979625	-0.0098489597986212
12.400000000000	-0.026308934053064	-0.0087424286106658
12.430000000000	-0.026610183631495	-0.0075808078206596
12.460000000000	-0.026839221745755	-0.0063706717084894
12.490000000000	-0.026985591742568	-0.0051209686891862
12.520000000000	-0.027040800043666	-0.0038425930327791
12.550000000000	-0.026998622564364	-0.0025478925192149
12.580000000000	-0.026855290098021	-0.0012501408916030
12.610000000000	-0.026609552901992	3.6996437465009e-05
12.640000000000	-0.026262631085967	0.0012999769636098
12.670000000000	-0.025818062863625	0.0025258528223044
12.700000000000	-0.025281467024165	0.0037026809080610
12.730000000000	-0.024660238946483	0.0048198576562473
12.760000000000	-0.023963201049249	0.0058683701126705
12.790000000000	-0.023200228774676	0.0068409602152178
12.820000000000	-0.022381872159263	0.0077322041340316
12.850000000000	-0.021518990940671	0.0085385127891017
12.880000000000	-0.020622418229438	0.0092580630818854
12.910000000000	-0.019702664313324	0.0098906718125183
12.940000000000	-0.018769668447186	0.010437625657884
12.970000000000	-0.017832602787957	0.010901480986082
13.000000000000	-0.016899729208601	0.011285846775432
13.030000000000	-0.015978306767565	0.011595162641615
