#Parameters = {CPWG_cut=1.25; GND_len=30; GND_wid=5; Strip_wid=0.85; arr1_posx=10; clrGND=5; couplline_len1=0; couplline_len2=2; couplline_len3=1; couplline_pos=1.5; dip_len=3; dip_pos=3; dip_wid=0.4; dipext_len=2; feed_pos=0.3; gap=0.2; notch_len=2; patch_wid=2.6; sub_h=0.5; via_num=10}
#"Frequency / GHz"	"R1_3_1 [1] [Re]"	"R1_3_1 [1] [Im]"
#-----------------------------------------------------
10.000000000000	-0.0062019620477608	0.0092860321151160
10.030000000000	-0.0059449243351356	0.0096236695750657
10.060000000000	-0.0056677372592975	0.0099542388175151
10.090000000000	-0.0053707234334198	0.010276170992111
10.120000000000	-0.0050543765595800	0.010587950614311
10.150000000000	-0.0047193478396671	0.010888137481759
10.180000000000	-0.0043664299964447	0.011175384871355
10.210000000000	-0.0039965399777145	0.011448454009939
10.240000000000	-0.0036107012919301	0.011706225129965
10.270000000000	-0.0032100267040667	0.011947705679705
10.300000000000	-0.0027957017285105	0.012172036427106
10.330000000000	-0.0023689690216851	0.012378496257281
10.360000000000	-0.0019311134373281	0.012566506404919
10.390000000000	-0.0014834472006003	0.012735634685519
10.420000000000	-0.0010272944215418	0.012885600006204
10.450000000000	-0.00056397403728544	0.013016277072202
10.480000000000	-9.4780271548643e-05	0.013127700793490
10.510000000000	0.00037904015596980	0.013220069479618
10.540000000000	0.00085631454671687	0.013293745535810
10.570000000000	0.0013359745179193	0.013349252086750
10.600000000000	0.0018170895922134	0.013387263799095
10.630000000000	0.0022989029976573	0.013408590184613
10.660000000000	0.0027808679726952	0.013414149866292
10.690000000000	0.0032626822881140	0.013404934688268
10.720000000000	0.0037443182134993	0.013381963138906
10.750000000000	0.0042260448267435	0.013346223309096
10.780000000000	0.0047084394422703	0.013298606482438
10.810000000000	0.0051923850553760	0.013239833393267
10.840000000000	0.0056790510889199	0.013170376123987
10.870000000000	0.0061698553878319	0.013090379469758
10.900000000000	0.0066664063186778	0.012999586299661
10.930000000000	0.0071704249567004	0.012897271917181
10.960000000000	0.0076836486220085	0.012782192607754
10.990000000000	0.0082077183835977	0.012652553411861
11.020000000000	0.0087440544956315	0.012505999654004
11.050000000000	0.0092937249689394	0.012339635890297
11.080000000000	0.0098573135157660	0.012150074735528
11.110000000000	0.010434793847736	0.011933516545582
11.140000000000	0.011025417679873	0.011685859237946
11.170000000000	0.011627623741192	0.011402835726918
11.200000000000	0.012238974584078	0.011080174640753
11.230000000000	0.012856127018514	0.010713778293018
11.260000000000	0.013474840602089	0.010299910417552
