#Parameters = {CPWG_cut=1.25; GND_len=30; GND_wid=5; Strip_wid=0.85; arr1_posx=10; clrGND=5; couplline_len1=0; couplline_len2=2; couplline_len3=1; couplline_pos=1.5; dip_len=3; dip_pos=3; dip_wid=0.4; dipext_len=2; feed_pos=0.3; gap=0.2; notch_len=2; patch_wid=2.6; sub_h=0.5; via_num=10}
#"Frequency / GHz"	"R1_3_1 [1] [Re]"	"R1_3_1 [1] [Im]"
#-----------------------------------------------------
10.000000000000	0.00094505186327804	-0.011695537465354
10.030000000000	0.00058882542232381	-0.011899580737859
10.060000000000	0.00020893405931243	-0.012075372726584
10.090000000000	-0.00018947565914590	-0.012218610929163
10.120000000000	-0.00060035582059937	-0.012326251246266
10.150000000000	-0.0010170998758954	-0.012396692106245
10.180000000000	-0.0014329195242068	-0.012429861658587
10.210000000000	-0.0018412282739819	-0.012427203012223
10.240000000000	-0.0022360039798811	-0.012391560197322
10.270000000000	-0.0026121045711976	-0.012326974965610
10.300000000000	-0.0029655150581050	-0.012238411146945
10.330000000000	-0.0032935094199528	-0.012131428548230
10.360000000000	-0.0035947177124660	-0.012011831918994
10.390000000000	-0.0038690961556012	-0.011885322054598
10.420000000000	-0.0041178055084727	-0.011757175554244
10.450000000000	-0.0043430101233825	-0.011631977148839
10.480000000000	-0.0045476161562865	-0.011513424070384
10.510000000000	-0.0047349720328378	-0.011404215996201
10.540000000000	-0.0049085570769823	-0.011306037126120
10.570000000000	-0.0050716849907281	-0.011219629473898
10.600000000000	-0.0052272475705516	-0.011144949047074
10.630000000000	-0.0053775207564052	-0.011081389817160
10.660000000000	-0.0055240500809313	-0.011028054760653
10.690000000000	-0.0056676261965425	-0.010984049210155
10.720000000000	-0.0058083538850054	-0.010948769604692
10.750000000000	-0.0059458103418687	-0.010922160639389
10.780000000000	-0.0060792811452283	-0.010904915804259
10.810000000000	-0.0062080557166694	-0.010898600234330
10.840000000000	-0.0063317587562224	-0.010905680390257
10.870000000000	-0.0064506904842605	-0.010929451950152
10.900000000000	-0.0065661468311796	-0.010973864927810
10.930000000000	-0.0066806911189877	-0.011043252892328
10.960000000000	-0.0067983512657283	-0.011141980685545
10.990000000000	-0.0069247209535747	-0.011274031677556
11.020000000000	-0.0070669492379292	-0.011442560889952
11.050000000000	-0.0072336103273324	-0.011649443870897
11.080000000000	-0.0074344532376332	-0.011894852766806
11.110000000000	-0.0076800391752571	-0.012176890482945
11.140000000000	-0.0079812822797780	-0.012491311186310
11.170000000000	-0.0083489162301130	-0.012831350848058
11.200000000000	-0.0087929147305103	-0.013187685348392
11.230000000000	-0.0093218976765404	-0.013548526279966
11.260000000000	-0.0099425566108768	-0.013899856470269
11.290000000000	-0.010659132801198	-0.014225798926488
11.320000000000	-0.011472978934863	-0.014509104922394
11.350000000000	-0.012382231188979	-0.014731739801257
11.380000000000	-0.013381612583543	-0.014875539204463
11.410000000000	-0.014462381442699	-0.014922904204307
11.440000000000	-0.015612430930398	-0.014857501461132
11.470000000000	-0.016816537487018	-0.014664934153785
11.500000000000	-0.018056748074471	-0.014333351033155
11.530000000000	-0.019312888913241	-0.013853964380990
11.560000000000	-0.020563172282418	-0.013221452668482
11.590000000000	-0.021784873286915	-0.012434229957576
11.620000000000	-0.022955045506451	-0.011494571163164
11.650000000000	-0.024051243246979	-0.010408589750180
11.680000000000	-0.025052218718993	-0.0091860718237822
11.710000000000	-0.025938564758586	-0.0078401774547089
11.740000000000	-0.026693277476689	-0.0063870260872996
11.770000000000	-0.027302218178682	-0.0048451876992147
11.800000000000	-0.027754459691085	-0.0032351048030511
11.830000000000	-0.028042508482518	-0.0015784722829220
11.860000000000	-0.028162400284580	0.00010239757356688
11.890000000000	-0.028113672936822	0.0017851985768655
11.920000000000	-0.027899225573136	0.0034482187815113
11.950000000000	-0.027525077770683	0.0050708728295909
11.980000000000	-0.027000045707457	0.0066341622645763
12.010000000000	-0.026335354613579	0.0081210522777880
12.040000000000	-0.025544207829976	0.0095167581951468
12.070000000000	-0.024641332660774	0.010808939717058
12.100000000000	-0.023642522045283	0.011987805228432
12.130000000000	-0.022564189059475	0.013046132188441
12.160000000000	-0.021422948600581	0.013979212540558
12.190000000000	-0.020235237546651	0.014784734167899
12.220000000000	-0.019016981451566	0.015462610637551
12.250000000000	-0.017783312655510	0.016014771871156
12.280000000000	-0.016548341751703	0.016444928039871
12.310000000000	-0.015324981802092	0.016758318041530
12.340000000000	-0.014124822639966	0.016961452533351
12.370000000000	-0.012958051088326	0.017061859832426
12.400000000000	-0.011833411963303	0.017067841222818
12.430000000000	-0.010758204282722	0.016988240470180
12.460000000000	-0.0097383070873240	0.016832230764498
12.490000000000	-0.0087782296078387	0.016609120977407
12.520000000000	-0.0078811810640689	0.016328182084575
12.550000000000	-0.0070491560498018	0.015998493881202
12.580000000000	-0.0062830321362699	0.015628811691354
12.610000000000	-0.0055826769314050	0.015227452593713
12.640000000000	-0.0049470623006997	0.014802200691530
12.670000000000	-0.0043743837541111	0.014360231066616
12.700000000000	-0.0038621831263350	0.013908052197942
12.730000000000	-0.0034074726450317	0.013451466724148
12.760000000000	-0.0030068583346744	0.012995550429564
12.790000000000	-0.0026566604989750	0.012544649199013
12.820000000000	-0.0023530288260101	0.012102393404172
12.850000000000	-0.0020920495303706	0.011671728763722
12.880000000000	-0.0018698419409810	0.011254962192415
12.910000000000	-0.0016826421023897	0.010853820569392
12.940000000000	-0.0015268713029621	0.010469519774219
12.970000000000	-0.0013991879755204	0.010102840825291
13.000000000000	-0.0012965221126088	0.0097542095724290
13.030000000000	-0.0012160921577711	0.0094237761970152
13.060000000000	-0.0011554052179348	0.0091114907972058
13.090000000000	-0.0011122423216615	0.0088171716011069
13.120000000000	-0.0010846312510944	0.0085405628539793
13.150000000000	-0.0010708101324786	0.0082813801406563
13.180000000000	-0.0010691854215126	0.0080393417851414
13.210000000000	-0.0010782881215786	0.0078141859527824
13.240000000000	-0.0010967320013313	0.0076056740921505
13.270000000000	-0.0011231772322359	0.0074135823146892
13.300000000000	-0.0011563022688318	0.0072376831434134
13.330000000000	-0.0011947859889872	0.0070777206996092
13.360000000000	-0.0012373011607405	0.0069333827859820
13.390000000000	-0.0012825192821538	0.0068042734333983
13.420000000000	-0.0013291258333402	0.0066898892967594
13.450000000000	-0.0013758440675982	0.0065896028282976
13.480000000000	-0.0014214647262060	0.0065026544615122
13.510000000000	-0.0014648785499289	0.0064281551639992
13.540000000000	-0.0015051082216523	0.0063650997358162
13.570000000000	-0.0015413364280114	0.0063123902241813
13.600000000000	-0.0015729270682015	0.0062688678798801
13.630000000000	-0.0015994372359770	0.0062333512754537
13.660000000000	-0.0016206184050811	0.0062046776080730
13.690000000000	-0.0016364061905024	0.0061817438715039
13.720000000000	-0.0016468990577810	0.0061635445304775
13.750000000000	-0.0016523273249592	0.0061492025715873
13.780000000000	-0.0016530146637722	0.0061379913173786
13.810000000000	-0.0016493349846495	0.0061293451313920
13.840000000000	-0.0016416680258709	0.0061228580490399
13.870000000000	-0.0016303571230154	0.0061182703656427
13.900000000000	-0.0016156724964686	0.0061154442143993
13.930000000000	-0.0015977829728989	0.0061143300885658
13.960000000000	-0.0015767383858803	0.0061149270253332
13.990000000000	-0.0015524640369457	0.0061172397086406
14.020000000000	-0.0015247676134460	0.0061212360179341
14.050000000000	-0.0014933579361876	0.0061268085258401
14.080000000000	-0.0014578739339643	0.0061337431306121
14.110000000000	-0.0014179213960543	0.0061416974245204
14.140000000000	-0.0013731144091984	0.0061501905950676
14.170000000000	-0.0013231179974852	0.0061586056986892
14.200000000000	-0.0012676883856384	0.0061662041160983
14.230000000000	-0.0012067075079235	0.0061721509808666
14.260000000000	-0.0011402088707191	0.0061755494536072
14.290000000000	-0.0010683926073364	0.0061754809708413
14.320000000000	-0.00099162847889696	0.0061710480935760
14.350000000000	-0.00091044659923490	0.0061614163593527
14.380000000000	-0.00082551670963873	0.0061458516233478
14.410000000000	-0.00073761781307507	0.0061237497541003
14.440000000000	-0.00064760081444457	0.0060946561979076
14.470000000000	-0.00055634743215586	0.0060582737906494
14.500000000000	-0.00046472899325501	0.0060144582062592
14.530000000000	-0.00037356876799427	0.0059632015041863
14.560000000000	-0.00028361123339924	0.0059046052850712
14.590000000000	-0.00019550109790770	0.0058388458970867
14.620000000000	-0.00010977411346752	0.0057661348761332
14.650000000000	-2.6860711242181e-05	0.0056866782876808
14.680000000000	5.2897598371066e-05	0.0056006388231990
14.710000000000	0.00012922023272678	0.0055081043705724
14.740000000000	0.00020185016005331	0.0054090663321775
14.770000000000	0.00027051022583068	0.0053034102381960
14.800000000000	0.00033485691421402	0.0051909202510977
14.830000000000	0.00039443563223789	0.0050712980534278
